Values for Sample D
The total number of words = 2956880
The total number of distinct = 57794
The popular treshold words = 2890
The common treshold 1 words = 27452
The common treshold 2 words = 30342
____________________________________________________________________________________________________________
Table for the top values
+---------------+------+----+
|           Word| Count|Rank|
|         return|   596| 483|
|          human|   595| 484|
|       falstaff|   595| 485|
|         passed|   594| 486|
|         office|   592| 487|
|          doubt|   591| 488|
|         desire|   590| 489|
|          third|   588| 490|
|           cold|   587| 491|
|         beauty|   584| 492|
|         coming|   583| 493|
|          short|   583| 494|
|          party|   583| 495|
|         change|   579| 496|
|      certainly|   576| 497|
|          faith|   575| 498|
|          madam|   574| 499|
|         french|   570| 500|
|          lords|   569| 501|
|       interest|   568| 502|
|           page|   567| 503|
|           laws|   565| 504|
|            bad|   564| 505|
|      sometimes|   564| 506|
|         making|   563| 507|
|        suppose|   562| 508|
|         follow|   562| 509|
|   constitution|   562| 510|
|          youth|   561| 511|
|          sound|   561| 512|
|       yourself|   561| 513|
|         tongue|   559| 514|
|         ground|   556| 515|
|          close|   554| 516|
|           need|   553| 517|
|            ere|   553| 518|
|           fool|   553| 519|
|            lie|   551| 520|
|              e|   549| 521|
|           born|   548| 522|
|         gentle|   548| 523|
|        chapter|   548| 524|
|     particular|   547| 525|
|           fact|   547| 526|
|        stephen|   546| 527|
|           gods|   545| 528|
|            run|   545| 529|
|          horse|   544| 530|
|         doctor|   544| 531|
|        several|   543| 532|
|           duty|   543| 533|
|           used|   542| 534|
|        richard|   541| 535|
|           held|   537| 536|
|           feet|   537| 537|
|         antony|   537| 538|
|            ten|   535| 539|
|          thine|   535| 540|
|           self|   535| 541|
|         caesar|   535| 542|
|           gold|   533| 543|
|           wind|   533| 544|
|         family|   531| 545|
|          spoke|   530| 546|
|          marry|   530| 547|
|           fell|   529| 548|
|         hamlet|   528| 549|
|        purpose|   527| 550|
|        opinion|   527| 551|
|           kept|   525| 552|
|          ready|   524| 553|
|         really|   523| 554|
|          happy|   522| 555|
|           deep|   521| 556|
|          hence|   521| 557|
|          story|   514| 558|
|            met|   511| 559|
|       thoughts|   511| 560|
|           girl|   510| 561|
|          union|   507| 562|
|       mistress|   507| 563|
|          force|   506| 564|
|        greater|   505| 565|
|        fortune|   505| 566|
|        natural|   505| 567|
|          music|   504| 568|
|         united|   503| 569|
|           idea|   502| 570|
|           hair|   501| 571|
|      character|   500| 572|
|           talk|   497| 573|
|           able|   495| 574|
|          sleep|   494| 575|
|          wrong|   494| 576|
|        company|   493| 577|
|            sat|   493| 578|
|          watch|   492| 579|
|           past|   490| 580|
|        replied|   489| 581|
|        hundred|   488| 582|
|           unto|   488| 583|
|            cut|   487| 584|
|           rome|   487| 585|
|           dost|   486| 586|
|      authority|   486| 587|
|       national|   485| 588|
|           evil|   483| 589|
|         brutus|   482| 590|
|         twenty|   480| 591|
|           late|   480| 592|
|         school|   479| 593|
|          knows|   478| 594|
|          false|   478| 595|
|       possible|   475| 596|
|          tears|   474| 597|
|        service|   472| 598|
|            arm|   467| 599|
|         wonder|   466| 600|
|        married|   466| 601|
|            red|   465| 602|
|         living|   465| 603|
|           foot|   465| 604|
|            cry|   461| 605|
|          hours|   460| 606|
|          mouth|   459| 607|
|            low|   458| 608|
|        welcome|   458| 609|
|         powers|   458| 610|
|         unless|   451| 611|
|         virtue|   450| 612|
|          lives|   449| 613|
|           pass|   449| 614|
|         saying|   449| 615|
|           line|   448| 616|
|           send|   447| 617|
|         beyond|   446| 618|
|       strength|   446| 619|
|         during|   444| 620|
|            sit|   444| 621|
|          sword|   444| 622|
|          worth|   443| 623|
|        besides|   442| 624|
|           fine|   440| 625|
|         charge|   440| 626|
|     foundation|   440| 627|
|        charles|   439| 628|
|             de|   439| 629|
|           laid|   438| 630|
|           lips|   438| 631|
|           news|   438| 632|
|      political|   438| 633|
|          alice|   438| 634|
|      gentlemen|   437| 635|
|          fight|   436| 636|
|         silver|   435| 637|
|          shame|   435| 638|
|         longer|   435| 639|
|        respect|   435| 640|
|     electronic|   434| 641|
|           died|   433| 642|
|      necessary|   433| 643|
|       marriage|   433| 644|
|        forward|   431| 645|
|           rich|   431| 646|
|         became|   429| 647|
|         honest|   428| 648|
|          royal|   428| 649|
|     understand|   427| 650|
|           ahab|   427| 651|
|         breath|   426| 652|
|            dog|   425| 653|
|           save|   425| 654|
|       received|   425| 655|
|          clear|   424| 656|
|       citizens|   424| 657|
|          bound|   423| 658|
|          heavy|   423| 659|
|           mark|   423| 660|
|        feeling|   423| 661|
|         sister|   423| 662|
|        quickly|   422| 663|
|      influence|   421| 664|
|          doing|   420| 665|
|          later|   419| 666|
|          wrote|   418| 667|
|             re|   417| 668|
|         single|   416| 669|
|          paper|   416| 670|
|       farewell|   416| 671|
|            mad|   416| 672|
|           rose|   415| 673|
|        letters|   414| 674|
|         london|   414| 675|
|          break|   414| 676|
|         danger|   414| 677|
|         speech|   413| 678|
|        warwick|   413| 679|
|           draw|   412| 680|
