Values for Sample G 
The total number of words = 2104828
The total number of distinct = 36986
The popular treshold words = 1850
The common treshold 1 words = 17568
The common treshold 2 words = 19418
____________________________________________________________________________________________________________
Table for the top values
+--------------+-----+----+
|          Word|Count|Rank|
|       chapter|  576| 384|
|        moment|  576| 385|
|         round|  575| 386|
|         aside|  575| 387|
|         marry|  572| 388|
|      mistress|  570| 389|
|       morning|  567| 390|
|          next|  565| 391|
|         faith|  565| 392|
|        almost|  560| 393|
|            tm|  560| 394|
|          care|  558| 395|
|         makes|  557| 396|
|        france|  556| 397|
|          fool|  554| 398|
|       already|  551| 399|
|         known|  550| 400|
|           act|  550| 401|
|         cried|  549| 402|
|         taken|  547| 403|
|          dost|  547| 404|
|        course|  546| 405|
|        beauty|  546| 406|
|         madam|  546| 407|
|         began|  545| 408|
|         years|  544| 409|
|    themselves|  544| 410|
|         tears|  543| 411|
|      anything|  542| 412|
|          four|  541| 413|
|          high|  540| 414|
|      business|  540| 415|
|         times|  539| 416|
|        either|  538| 417|
|        edward|  538| 418|
|          open|  532| 419|
|         short|  529| 420|
|        caesar|  528| 421|
|         sword|  527| 422|
|         money|  524| 423|
|          fall|  524| 424|
|       neither|  523| 425|
|       looking|  521| 426|
|           ask|  520| 427|
|      returned|  515| 428|
|       richard|  515| 429|
|         among|  514| 430|
|         least|  513| 431|
|         child|  510| 432|
|          lost|  510| 433|
|         lords|  510| 434|
|      answered|  509| 435|
|        antony|  509| 436|
|         senor|  509| 437|
|           few|  505| 438|
|          sent|  504| 439|
|         women|  504| 440|
|        desire|  501| 441|
|          case|  498| 442|
|            ye|  498| 443|
|       strange|  495| 444|
|          also|  493| 445|
|       certain|  493| 446|
|         white|  493| 447|
|        gentle|  492| 448|
|      marianne|  492| 449|
|        fellow|  491| 450|
|          unto|  488| 451|
|          york|  488| 452|
|         until|  487| 453|
|         stood|  486| 454|
|         often|  485| 455|
|         point|  485| 456|
|           air|  485| 457|
|          meet|  485| 458|
|        saying|  484| 459|
|        follow|  484| 460|
|      thoughts|  478| 461|
|       country|  477| 462|
|           yes|  476| 463|
|        seeing|  476| 464|
|       subject|  475| 465|
|       purpose|  474| 466|
|          talk|  474| 467|
|        brutus|  474| 468|
|        making|  472| 469|
|        hamlet|  469| 470|
|       welcome|  468| 471|
|           lie|  467| 472|
|      princess|  463| 473|
|       company|  462| 474|
|         wrong|  462| 475|
|         sleep|  461| 476|
|          feel|  461| 477|
|        itself|  460| 478|
|         above|  459| 479|
|        morrow|  459| 480|
|        ground|  458| 481|
|         horse|  456| 482|
|          news|  455| 483|
